dataset,record_id,input_smiles,smiles,MolWt,cLogP,HBD,HBA,QED,SA,HeavyAtomCount,NumRings,NumAromaticRings,TPSA,NumRotatableBonds,BertzCT,BemisMurckoScaffold
ZINC,,CCCNC(=O)Nc1ccc(CC(=O)N2CCSC(C)(C)C2)cc1,CCCNC(=O)Nc1ccc(CC(=O)N2CCSC(C)(C)C2)cc1,349.50000000000006,3.114600000000002,2,3,0.8584990050983217,2.420000197790248,24,2,1,61.440000000000005,5,572.131534439942,O=C(Cc1ccccc1)N1CCSCC1
ZINC,,CN(Cc1cc(N)cc[nH+]1)C[C@H]1CCCCO1,CN(Cc1cc(N)cc[nH+]1)C[C@H]1CCCCO1,236.3389999999999,1.0837999999999999,1,3,0.8509415734121314,4.035547988709679,17,2,1,52.629999999999995,4,350.2727408671212,c1ccc(CNCC2CCCCO2)[nH+]c1
ZINC,,C[C@H]1[C@@H]([NH3+])CC[NH+]([C@@H]2CCCC2(C)C)[C@@H]1C,C[C@@H]1[C@@H](C)[NH+]([C@@H]2CCCC2(C)C)CC[C@@H]1[NH3+],226.40799999999996,0.48880000000000057,2,0,0.6521994697390889,6.045045197704218,16,2,0,32.08,1,249.11989643453038,C1CC[NH+](C2CCCC2)CC1
ZINC,,Cn1c2c(c(=O)n(C)c1=O)[C@H](c1cc([N+](=O)[O-])ccc1[O-])[C@@H]1C(=O)c3ccccc3C1=N2,Cn1c2c(c(=O)n(C)c1=O)[C@H](c1cc([N+](=O)[O-])ccc1[O-])[C@@H]1C(=O)c3ccccc3C1=N2,431.3840000000002,1.1445999999999998,0,9,0.4403321334140061,3.9379231650147704,32,5,3,139.63,2,1513.7762385500148,O=C1c2ccccc2C2=Nc3[nH]c(=O)[nH]c(=O)c3C(c3ccccc3)C12
ZINC,,O=C(Nc1ccc(Br)cn1)c1ccc[n+]([O-])c1,O=C(Nc1ccc(Br)cn1)c1ccc[n+]([O-])c1,294.108,1.7297999999999996,1,3,0.6771493623841479,2.427282927994403,17,2,2,68.93,2,542.6677364511717,O=C(Nc1ccccn1)c1ccc[nH+]c1
ZINC,,Cc1nc(NC(=O)Cc2c[nH]c3ccccc23)sc1SCC(N)=O,Cc1nc(NC(=O)Cc2c[nH]c3ccccc23)sc1SCC(N)=O,360.46400000000017,2.69142,3,5,0.5883349841951188,2.4056608582886625,24,3,3,100.87,6,900.5096130501285,O=C(Cc1c[nH]c2ccccc12)Nc1nccs1
ZINC,,CCN(C[C@@H]1COc2ccccc2O1)C(=O)N[C@@H](C)CCc1ccc(O)cc1,CCN(C[C@@H]1COc2ccccc2O1)C(=O)N[C@@H](C)CCc1ccc(O)cc1,384.47600000000017,3.584800000000002,2,4,0.7653951221632088,3.0404887050437326,28,3,2,71.03,7,778.361149828409,O=C(NCCCc1ccccc1)NCC1COc2ccccc2O1
ZINC,,CCCc1noc(CN2CCC[C@H](c3nc4ccccc4o3)C2)n1,CCCc1noc(CN2CCC[C@H](c3nc4ccccc4o3)C2)n1,326.4000000000001,3.542900000000002,0,6,0.7141155943743688,2.8336812703589978,24,4,3,68.19,5,777.071228039145,c1ccc2oc(C3CCCN(Cc4ncno4)C3)nc2c1
ZINC,,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,198.35399999999996,0.14740000000000086,2,0,0.6342658427534315,5.687686938380902,14,2,0,44.25,2,218.47622838888879,C1CCC([NH2+]C2CC2)C1
ZINC,,O=C(CCNC(=O)N[C@@H]1CCS(=O)(=O)C1)Nc1ccc2c(c1)OCCO2,O=C(CCNC(=O)N[C@@H]1CCS(=O)(=O)C1)Nc1ccc2c(c1)OCCO2,383.42600000000016,0.27270000000000083,3,6,0.670857041705221,2.7490300655805253,26,3,1,122.83000000000001,5,795.1748613928822,O=C(CCNC(=O)NC1CCS(=O)(=O)C1)Nc1ccc2c(c1)OCCO2
ZINC,,Cn1cc(COC(=O)c2cc(C#N)cn2C)cn1,Cn1cc(COC(=O)c2cc(C#N)cn2C)cn1,244.25400000000002,0.9872799999999999,0,6,0.7545064784454151,2.677235118299608,18,2,2,72.84,3,618.3011984047604,O=C(OCc1cn[nH]c1)c1ccc[nH]1
ZINC,,Cc1c2c(cc3c1O/C(=C\c1c(F)cccc1Cl)C3=O)CN(C1CC1)CO2,Cc1c2c(cc3c1O/C(=C\c1c(F)cccc1Cl)C3=O)CN(C1CC1)CO2,385.82200000000023,4.718020000000004,0,4,0.7011700856829147,2.953379605562718,27,5,2,38.769999999999996,2,992.7216920080667,O=C1C(=Cc2ccccc2)Oc2cc3c(cc21)CN(C1CC1)CO3
ZINC,,COc1cc(OC)c(NC(=O)[C@H](C)c2ccc(Cl)s2)cc1F,COc1cc(OC)c(NC(=O)[C@H](C)c2ccc(Cl)s2)cc1F,343.807,4.3000000000000025,1,4,0.880062596167124,2.739512581952269,22,2,2,47.56,5,689.4222377014819,O=C(Cc1cccs1)Nc1ccccc1
ZINC,,C[C@@H]1CCCC[C@@H]1OCc1ccc(N)c2cccnc12,C[C@@H]1CCCC[C@@H]1OCc1ccc(N)c2cccnc12,270.37600000000003,3.9123000000000028,1,3,0.860083284139153,3.0087104769926682,20,3,2,48.14,3,596.5597398030831,c1cnc2c(COC3CCCCC3)cccc2c1
ZINC,,Cc1nc2cc(C(=O)Nc3nc4c(s3)C(=O)CC(C)(C)C4)ccc2n1C,Cc1nc2cc(C(=O)Nc3nc4c(s3)C(=O)CC(C)(C)C4)ccc2n1C,368.4620000000001,3.7456200000000024,1,6,0.7473294875819504,2.5799833356175075,26,4,3,76.88,2,1061.1088539873444,O=C(Nc1nc2c(s1)C(=O)CCC2)c1ccc2[nH]cnc2c1
ZINC,,CCOc1ccc(-c2cc(-c3cc(OC)c(OC)c(OC)c3)[nH]c(=O)c2C#N)cc1,CCOc1ccc(-c2cc(-c3cc(OC)c(OC)c(OC)c3)[nH]c(=O)c2C#N)cc1,406.4380000000001,4.005080000000002,1,6,0.6373050751439155,2.3110597470239043,30,3,3,93.57,7,1118.7306630562439,O=c1cc(-c2ccccc2)cc(-c2ccccc2)[nH]1
ZINC,,COCC[NH2+]CC[C@@H]1CCOC2(CCCCC2)C1,COCC[NH2+]CC[C@@H]1CCOC2(CCCCC2)C1,256.4099999999999,1.715799999999999,1,2,0.7344207666678553,4.613306328353128,18,2,0,35.07,6,221.02371612212244,C1CCC2(CC1)CCCCO2
ZINC,,COc1ccc(CNC(=O)[C@H](C)N2C(=O)N3CCC4=c5cc(OC)ccc5=[NH+][C@@H]4[C@@]3(C)C2=O)cc1,COc1ccc(CNC(=O)[C@H](C)N2C(=O)N3CCC4=c5cc(OC)ccc5=[NH+][C@@H]4[C@@]3(C)C2=O)cc1,477.5410000000002,-0.9315999999999949,2,5,0.5237502263509538,4.324403093168076,35,5,2,102.15,6,1338.501113841997,O=C(CN1C(=O)C2C3[NH+]=c4ccccc4=C3CCN2C1=O)NCc1ccccc1
ZINC,,[NH3+]C[C@@]1([C@@H](O)c2cnn(-c3ccccc3)c2)CCOC1,[NH3+]C[C@@]1([C@@H](O)c2cnn(-c3ccccc3)c2)CCOC1,274.34400000000005,0.5543,2,4,0.854910752017518,3.929202784684975,20,3,2,74.92,4,561.507419700601,c1ccc(-n2cc(CC3CCOC3)cn2)cc1
ZINC,,Cc1cc(C[NH+]2CC[C@](C)(C(=O)[O-])C2)c2ccccc2n1,Cc1cc(C[NH+]2CC[C@](C)(C(=O)[O-])C2)c2ccccc2n1,284.35900000000004,0.0880200000000011,1,3,0.8687687132622322,4.4890047319214545,21,3,2,57.46,3,698.2496283321452,c1ccc2c(C[NH+]3CCCC3)ccnc2c1
ZINC,,CCOC(=O)c1ccc(CN2C(=O)CCC2=O)o1,CCOC(=O)c1ccc(CN2C(=O)CCC2=O)o1,251.23799999999991,1.1053,0,5,0.5913242174275372,2.1968760413765303,18,2,1,76.82,4,474.4121397600329,O=C1CCC(=O)N1Cc1ccco1
ZINC,,N#C[C@H](C(=O)c1nc2ncc(Br)cn2n1)c1ccccn1,N#C[C@H](C(=O)c1nc2ncc(Br)cn2n1)c1ccccn1,343.14400000000006,1.7718799999999997,0,7,0.6726046140895621,3.4563482298130666,21,3,3,96.83,3,853.9740306045451,O=C(Cc1ccccn1)c1nc2ncccn2n1
ZINC,,COc1ccc(C)cc1CN1C(=O)N[C@](C)(c2ccccn2)C1=O,COc1ccc(C)cc1CN1C(=O)N[C@](C)(c2ccccn2)C1=O,325.36800000000005,2.3658200000000003,1,4,0.8761418272306379,2.6891138312813627,24,3,2,71.53,4,791.3509242880399,O=C1NC(c2ccccn2)C(=O)N1Cc1ccccc1
ZINC,,O[C@@H]1Cc2ccccc2[C@@H]1[NH2+]Cc1ccc2ccccc2c1,O[C@@H]1Cc2ccccc2[C@@H]1[NH2+]Cc1ccc2ccccc2c1,290.38599999999997,2.5615000000000006,2,1,0.7640508129992134,3.5733023725974142,22,4,3,36.84,3,811.4212348204801,c1ccc2c(c1)CCC2[NH2+]Cc1ccc2ccccc2c1
ZINC,,COc1ccc(C(=O)Nc2cccc(-c3nc4ccccc4c(=O)o3)c2)cc1[N+](=O)[O-],COc1ccc(C(=O)Nc2cccc(-c3nc4ccccc4c(=O)o3)c2)cc1[N+](=O)[O-],417.3770000000002,4.0241000000000025,1,7,0.38390810329734576,2.1311862210849153,31,4,4,124.57,5,1379.2949161542117,O=C(Nc1cccc(-c2nc3ccccc3c(=O)o2)c1)c1ccccc1
ZINC,,O=C(NCCCn1nc2n(c1=O)CCCC2)NC[C@@H]1CC[NH+](C2CC2)C1,O=C(NCCCn1nc2n(c1=O)CCCC2)NC[C@@H]1CC[NH+](C2CC2)C1,363.48600000000016,-0.8623999999999965,3,5,0.5511813722836675,4.369026919075502,26,4,1,85.39,7,692.3437053228675,O=C(NCCCn1nc2n(c1=O)CCCC2)NCC1CC[NH+](C2CC2)C1
ZINC,,Cn1cc(C(=O)NNC(=O)c2cc3ccccc3o2)c2ccccc21,Cn1cc(C(=O)NNC(=O)c2cc3ccccc3o2)c2ccccc21,333.3470000000001,2.9993000000000016,2,4,0.5537392709783258,2.1252589284843353,25,4,4,76.27000000000001,2,1074.4640638503577,O=C(NNC(=O)c1c[nH]c2ccccc12)c1cc2ccccc2o1
ZINC,,CCCNC(=O)[C@H](C)NC(=O)[C@@](C)([NH3+])CC,CCCNC(=O)[C@H](C)NC(=O)[C@@](C)([NH3+])CC,230.33199999999997,-0.5720999999999978,3,2,0.5704495412548406,3.6642161788813734,16,0,0,85.84,6,251.61423003616312,
ZINC,,CCc1onc(C)c1NC(=O)N[C@@H]1COc2c(cccc2OC)C1,CCc1onc(C)c1NC(=O)N[C@@H]1COc2c(cccc2OC)C1,331.37200000000007,2.679220000000001,2,5,0.8994677734639199,3.153423205226119,24,3,2,85.62,4,741.4320397677808,O=C(Nc1cnoc1)NC1COc2ccccc2C1
ZINC,,CC[C@@H](CCO)CNC(=O)c1c(C)n[nH]c1C,CC[C@@H](CCO)CNC(=O)c1c(C)n[nH]c1C,239.319,1.1649399999999999,3,3,0.6968777905722331,2.9718639671411857,17,1,1,78.00999999999999,6,354.3276878895439,c1cn[nH]c1
ZINC,,CC(C)N(C(=O)[C@@H](C)[NH+]1CCC(C(=O)N2CCCCC2)CC1)C(C)C,CC(C)N(C(=O)[C@@H](C)[NH+]1CCC(C(=O)N2CCCCC2)CC1)C(C)C,352.5430000000001,1.3277000000000014,1,2,0.8112482042034326,3.9054312301729244,25,2,0,45.06000000000001,5,441.85761885787315,O=C(C1CC[NH2+]CC1)N1CCCCC1
ZINC,,COc1c(C(=O)[O-])cccc1-c1ccc2ccccc2c1,COc1c(C(=O)[O-])cccc1-c1ccc2ccccc2c1,277.29900000000004,2.8789000000000007,0,3,0.7393084628948533,2.2090036204321706,21,3,3,49.36,3,821.5613163598657,c1ccc(-c2ccc3ccccc3c2)cc1
ZINC,,CCOC(=O)[C@H]1[C@@H]2NC(=S)N(c3cccc(F)c3)[C@@]1(C)Oc1ccccc12,CCOC(=O)[C@H]1[C@@H]2NC(=S)N(c3cccc(F)c3)[C@@]1(C)Oc1ccccc12,386.4480000000001,3.549400000000002,1,4,0.6432080637437215,4.212592100090198,27,4,2,50.8,3,921.6047664065231,S=C1NC2CC(Oc3ccccc32)N1c1ccccc1
ZINC,,Cc1ccc(N)c(S[C@H](C)C(=O)NCCC(C)C)c1,Cc1ccc(N)c(S[C@H](C)C(=O)NCCC(C)C)c1,280.437,3.2201200000000014,2,3,0.6211770412709738,2.6093167203262286,19,1,1,55.120000000000005,6,432.153792738549,c1ccccc1
ZINC,,COCCNC(=O)c1cccnc1SC,COCCNC(=O)c1cccnc1SC,226.301,1.1797,1,4,0.6048171992690262,1.9915232286940263,15,1,1,51.22,5,330.95335643553636,c1ccncc1
ZINC,,CC(=O)c1sc2[nH+]c(C)c3c(c2c1N)CCCC3,CC(=O)c1sc2[nH+]c(C)c3c(c2c1N)CCCC3,261.36999999999995,2.6874200000000013,1,3,0.8023361585317287,3.6812252721457606,18,3,2,57.230000000000004,1,657.5931233712442,c1cc2c3c(c[nH+]c2s1)CCCC3
ZINC,,Cc1cccc(OC[C@H](O)CNC(=O)c2sccc2-c2ccccc2)c1,Cc1cccc(OC[C@H](O)CNC(=O)c2sccc2-c2ccccc2)c1,367.4700000000001,3.893220000000002,2,4,0.6659477789419653,2.4940907142291735,26,3,3,58.56,7,860.4574543650755,O=C(NCCCOc1ccccc1)c1sccc1-c1ccccc1
ZINC,,C[C@H]1CN(Cc2ccc(-c3ccncc3)cc2F)[C@H](C)CO1,C[C@@H]1CO[C@@H](C)CN1Cc1ccc(-c2ccncc2)cc1F,300.37700000000007,3.496900000000003,0,3,0.8673018584264368,3.0004758637216735,22,3,2,25.360000000000003,3,632.2392120361336,c1cc(-c2ccc(CN3CCOCC3)cc2)ccn1
ZINC,,NC(=O)NC1CCN(C(=O)c2ccc(Cl)cc2)CC1,NC(=O)NC1CCN(C(=O)c2ccc(Cl)cc2)CC1,281.7430000000001,1.6129000000000002,2,2,0.8640926409022054,1.8377914689236476,19,2,1,75.43,2,467.2816028321607,O=C(c1ccccc1)N1CCCCC1
ZINC,,Cc1cc(CC(=O)NCC2(O)CCCCCC2)no1,Cc1cc(CC(=O)NCC2(O)CCCCCC2)no1,266.34099999999995,1.7270199999999993,2,4,0.8137365261955888,2.4249284307040053,19,2,1,75.36,4,420.0804967266179,O=C(Cc1ccon1)NCC1CCCCCC1
ZINC,,Cc1cc(C)n2ncc(C(=O)N[C@@H](C)[C@H]3CCCO3)c2n1,Cc1cc(C)n2ncc(C(=O)N[C@@H](C)[C@H]3CCCO3)c2n1,288.351,1.64344,1,5,0.9320267039188176,3.197123375989251,21,3,2,68.52000000000001,3,673.608608592541,O=C(NCC1CCCO1)c1cnn2cccnc12
ZINC,,O=C(c1ccc(CS(=O)(=O)c2ccc3ccccc3c2)cc1)N1CCCC1,O=C(c1ccc(CS(=O)(=O)c2ccc3ccccc3c2)cc1)N1CCCC1,379.4810000000002,4.049700000000003,0,3,0.6871433812896877,1.9081093937906832,27,4,3,54.45,4,1082.0008043429914,O=C(c1ccc(CS(=O)(=O)c2ccc3ccccc3c2)cc1)N1CCCC1
ZINC,,CC(C)n1cc([C@@H](C)[NH2+][C@@H]2CCCOc3c2ccc2ccccc32)cn1,CC(C)n1cc([C@@H](C)[NH2+][C@@H]2CCCOc3c2ccc2ccccc32)cn1,350.48600000000005,4.155500000000003,1,3,0.7678465610659926,4.022616457537039,26,4,3,43.66,4,899.2936810274612,c1ccc2c3c(ccc2c1)C([NH2+]Cc1cn[nH]c1)CCCO3
ZINC,,Cc1ccc(C)n1NCc1nc2ccsc2c(=O)[nH]1,Cc1ccc(C)n1NCc1nc2ccsc2c(=O)[nH]1,274.34900000000005,2.14664,2,5,0.7689404623424603,3.003530994806569,19,3,3,62.71,3,763.8866886011845,O=c1[nH]c(CNn2cccc2)nc2ccsc12
ZINC,,CC(C)n1nc(C(=O)N2CCC[C@@H]2c2nc3ccccc3n2C)c2ccccc2c1=O,CC(C)n1nc(C(=O)N2CCC[C@@H]2c2nc3ccccc3n2C)c2ccccc2c1=O,415.4970000000001,3.841400000000003,0,6,0.5096019641550265,2.893049431864414,31,5,4,73.02000000000001,3,1367.6655875460347,O=C(c1n[nH]c(=O)c2ccccc12)N1CCCC1c1nc2ccccc2[nH]1
ZINC,,NC(=O)c1cccc(CCNC(=O)Cc2cnn(-c3ccccc3)c2)c1,NC(=O)c1cccc(CCNC(=O)Cc2cnn(-c3ccccc3)c2)c1,348.406,1.8725999999999992,2,4,0.6829073920600467,2.037039335617507,26,3,3,90.00999999999999,7,902.9393550053338,O=C(Cc1cnn(-c2ccccc2)c1)NCCc1ccccc1
ZINC,,Cc1c(Cl)cccc1NCCNc1ccccc1,Cc1c(Cl)cccc1NCCNc1ccccc1,260.768,4.172420000000002,2,2,0.788667727232481,1.7111627632700213,18,2,2,24.06,5,497.1017175824324,c1ccc(NCCNc2ccccc2)cc1
ZINC,,CC[C@@H](C)C(=O)N1CCC[C@@H](C(=O)NC[C@H](OC)c2ccccc2)C1,CC[C@@H](C)C(=O)N1CCC[C@@H](C(=O)NC[C@H](OC)c2ccccc2)C1,346.47100000000006,2.7750000000000012,1,3,0.8257990895714449,3.127152762630744,25,2,1,58.64,7,561.3195102904954,O=C(NCCc1ccccc1)C1CCCNC1
ZINC,,CCn1c(C#N)ccc1Cn1cc[nH+]c1,CCn1c(C#N)ccc1Cn1cc[nH+]c1,201.25300000000001,1.04358,0,3,0.7316264573579884,4.291250471218943,15,2,2,47.79,3,473.15614930373926,c1c[nH]c(Cn2cc[nH+]c2)c1
ZINC,,C=CCNC(=S)Nc1cc(Cl)c(OC)cc1OC,C=CCNC(=S)Nc1cc(Cl)c(OC)cc1OC,286.78400000000005,2.829600000000001,2,3,0.643532380537982,2.180601611235243,18,1,1,42.519999999999996,5,451.94870528414344,c1ccccc1
ZINC,,C#CCN1CCN(CC(=O)N[C@@H](C)c2ccccc2OC)CC1,C#CCN1CCN(CC(=O)N[C@@H](C)c2ccccc2OC)CC1,315.4170000000002,1.1232000000000002,1,4,0.7993360300402186,2.562913376437571,23,2,1,44.81,6,559.630279900734,O=C(CN1CCNCC1)NCc1ccccc1
ZINC,,O=C(CCc1cccc(F)c1)N1CCN(C(=O)c2ccccc2F)CC1,O=C(CCc1cccc(F)c1)N1CCN(C(=O)c2ccccc2F)CC1,358.38800000000003,2.8820000000000014,0,2,0.8432802695225551,1.8579380133721841,26,3,2,40.620000000000005,4,801.9031200749419,O=C(CCc1ccccc1)N1CCN(C(=O)c2ccccc2)CC1
ZINC,,Cc1ccc(/C=C2\N=C(c3ccccc3[N+](=O)[O-])OC2=O)o1,Cc1ccc(/C=C2\N=C(c3ccccc3[N+](=O)[O-])OC2=O)o1,298.2540000000001,2.840720000000001,0,6,0.3755803305697849,2.4721417194696347,22,3,2,94.94000000000001,3,831.9632821714658,O=C1OC(c2ccccc2)=NC1=Cc1ccco1
ZINC,,CN1CCCNC(=O)C12CC[NH+](Cc1cccc(O)c1)CC2,CN1CCCNC(=O)C12CC[NH+](Cc1cccc(O)c1)CC2,304.41400000000004,-0.23859999999999815,3,3,0.7068708302644953,4.300019834699523,22,3,1,57.010000000000005,2,538.4605172467675,O=C1NCCCNC12CC[NH+](Cc1ccccc1)CC2
ZINC,,COc1ccc(OC(=O)Cc2ccc(F)c(F)c2)cc1,COc1ccc(OC(=O)Cc2ccc(F)c(F)c2)cc1,278.25399999999996,3.121500000000002,0,3,0.6364540476157835,1.728384751435394,20,2,2,35.53,4,609.0157328233128,O=C(Cc1ccccc1)Oc1ccccc1
